node,in_strength,out_strength,pagerank,betweenness,eigenvector,closeness,pagerank_norm,in_strength_norm,out_strength_norm,eigenvector_norm,community,role_z,role_P,out_entropy,local_reciprocity,out_2step,in_2step
Austria,0,15,0.006923254721998321,0.0,3.959097059659821e-34,0.0,0.0,0.0,0.040106951871657755,0.0,1,-0.35722748976001734,0.6222222222222222,0.9366347667919049,0.0,76,0
Canada,2,0,0.007443826288442697,0.0,0.0029081517467701174,0.06348178137651822,0.016323674353846622,0.0072992700729927005,0.0,0.0034153681071058435,2,-0.6833347476931274,0.5,0.0,0.0,0,9
China,53,0,0.02420275359994668,0.0,0.16094547698550854,0.13669985775248933,0.5418369554984633,0.19343065693430658,0.0,0.1890162883314957,2,0.45555649846208485,0.708437166251335,0.0,0.0,0,31
Czech Republic,7,12,0.011037161881171459,0.0008958566629339306,1.6105270838046888e-24,0.008421052631578947,0.1290006698732671,0.025547445255474453,0.03208556149732621,1.89142222114565e-24,1,-0.23654252700325473,0.5244444444444445,0.9727652776334446,0.125,59,3
France,67,133,0.020062977150242304,0.043028715405535115,0.1360444377593475,0.0745017884517118,0.41202509672895815,0.24452554744525548,0.35561497326203206,0.1597722107824899,2,3.083767066512575,0.7150366990676453,0.8421429427410357,0.09090909090909091,77,26
Germany,17,80,0.010319255714855837,0.0670932650775876,0.01822894835183701,0.11805668016194333,0.10648913211180769,0.06204379562043796,0.21390374331550802,0.021408294424831865,1,1.694416877104947,0.6556927297668038,0.9034393236669168,0.19230769230769232,76,26
Italy,38,374,0.013184940578702058,0.031180255603547875,0.002276915808476304,0.08526315789473683,0.1963490275296096,0.1386861313868613,1.0,0.002674037090214399,0,2.6713934438942735,0.5614446678796003,0.6449869933613116,0.10256410256410256,85,15
Poland,53,35,0.022941805139913844,0.023331866901295795,0.050088909145373936,0.12579810181190682,0.5022971239645416,0.19343065693430658,0.09358288770053476,0.05882501248596475,2,1.331626687812248,0.7491349480968859,0.8270761911715585,0.16666666666666666,50,27
Spain,274,312,0.03881384229192896,0.10901091380934605,0.3869038449889717,0.12579810181190682,1.0,1.0,0.8342245989304813,0.4543844915106529,0,4.720278690770982,0.4285256760768017,0.739126645595592,0.10416666666666667,73,28
Türkiye,11,0,0.008315185651396806,0.0,0.028766461981160025,0.1006418485237484,0.04364707694225504,0.040145985401459854,0.0,0.03378367614889561,1,-0.5382549338951612,0.578512396694215,0.0,0.0,0,26
United States,23,0,0.013513477125102593,0.0,0.06458627457227202,0.09972299168975068,0.2066510185380885,0.08394160583941605,0.0,0.07585089140410518,4,0.75,0.7372400756143667,0.0,0.0,0,26
Vietnam,72,0,0.03534898993066641,0.0,0.02093908991566908,0.14451127819548873,0.8913518807496187,0.26277372262773724,0.0,0.024591117010735145,1,2.29784169088876,0.4614197530864198,0.0,0.0,0,30
Belgium,10,67,0.008011250180659827,0.00664280381805578,0.0002012127678176491,0.06448474126492702,0.0341165071441759,0.0364963503649635,0.17914438502673796,0.00023630667509360012,1,0.9099646191859901,0.6808388394139615,0.9061692702647068,0.1,70,9
El Salvador,4,0,0.0073421298813289345,0.0,0.024819039567809578,0.06934984520123838,0.013134758286033197,0.014598540145985401,0.0,0.029147776171941073,0,-0.30757786899883605,0.375,0.0,0.0,0,22
Ghana,17,0,0.012744397246796326,0.0,0.010620324915301614,0.07123070834982191,0.18253481570489186,0.06204379562043796,0.0,0.012472636286296909,3,0.7767237968080912,0.4913494809688581,0.0,0.0,0,13
Indonesia,24,0,0.012382698836049312,0.0,0.035362944158829214,0.08252631578947368,0.171192960997641,0.08759124087591241,0.0,0.04153066351766869,1,-0.23654252700325473,0.6006944444444444,0.0,0.0,0,26
Iran,3,0,0.007944015126582297,0.0,0.0018142355004881021,0.07177033492822966,0.0320082031209247,0.010948905109489052,0.0,0.0021306598165064987,3,-0.42853726720446417,0.4444444444444444,0.0,0.0,0,11
Myanmar,2,0,0.007134540786602439,0.0,0.0003939803507479702,0.09596083231334149,0.006625342482034996,0.0072992700729927005,0.0,0.00046269522430025963,1,-0.7192823780303051,0.0,0.0,0.0,0,9
Netherlands,51,95,0.0193673173725462,0.04071686307968503,0.007602246696199886,0.07673684210526316,0.39021114375080623,0.18613138686131386,0.2540106951871658,0.008928169218607247,1,3.1426364301860983,0.5256,0.8016841975258568,0.16,78,24
Norway,22,7,0.017061684835615504,0.0014744307577454275,0.013258557357044854,0.15571002979145976,0.31791292936780574,0.08029197080291971,0.01871657754010695,0.015571007941307419,1,0.36688228678055834,0.4224965706447189,0.9751060321688345,0.25,4,28
Peru,6,0,0.0074778452865363575,0.0,0.0331393222722684,0.08252631578947368,0.017390415379519547,0.021897810218978103,0.0,0.038919215445174876,0,-0.2806188525925636,0.2777777777777777,0.0,0.0,0,22
Sri Lanka,43,0,0.013736785590318847,0.0,0.033752044048118164,0.07935222672064776,0.2136533500168227,0.15693430656934307,0.0,0.039638803208808845,1,0.5479097309157023,0.6089778258518118,0.0,0.0,0,20
Thailand,18,0,0.009520957503853972,0.0,0.03738326769650087,0.08534850640113797,0.0814567237483264,0.06569343065693431,0.0,0.0439033555837765,1,-0.41756997113839867,0.6975308641975309,0.0,0.0,0,29
Uganda,4,0,0.007114802698633333,0.0,0.00015041019068517687,0.06068111455108358,0.006006411020649291,0.014598540145985401,0.0,0.00017664352240917254,0,-0.30757786899883605,0.375,0.0,0.0,0,10
Unknown,33,0,0.01918418189749765,0.0,0.08911166709826052,0.11803508771929824,0.3844685253482144,0.12043795620437957,0.0,0.10465380498677608,2,0.5431635173971011,0.6372819100091828,0.0,0.0,0,29
Yemen,4,0,0.00733391566889967,0.0,0.008284482049427585,0.09708978328173373,0.01287718346364235,0.014598540145985401,0.0,0.009729394556845471,1,-0.6589398966519239,0.375,0.0,0.0,0,22
