feature1,feature2,correlation
origin_out_strength,origin_in_strength,0.8551420085455219
origin_pagerank_norm,origin_in_strength,0.8927592447402242
origin_role_z,origin_in_strength,0.8727739057618186
origin_role_z,origin_out_strength,0.8814482706118464
origin_role_z,origin_pagerank_norm,0.873813787923235
origin_out_2step,origin_out_entropy,0.884208510919722
origin_closeness,origin_in_2step,0.8504150386352038
notifier_pagerank_norm,notifier_in_strength,0.9693009473487628
notifier_role_z,notifier_in_strength,0.81976804209284
notifier_role_z,notifier_pagerank_norm,0.8350864051212422
notifier_out_entropy,notifier_out_strength,0.8567898869487319
notifier_eigenvector_norm,notifier_in_strength,0.9827062746098069
notifier_eigenvector_norm,notifier_pagerank_norm,0.9553047141496419
notifier_closeness,notifier_in_2step,0.8178944789331224
origin_notifier_strength_product,origin_in_strength,0.8824738257313637
origin_notifier_entropy_diff,origin_out_entropy,0.9545172606635255
origin_notifier_entropy_diff,origin_out_2step,0.8997462420909901
