node,z_pagerank,p_pagerank,z_in_strength,p_in_strength,z_out_strength,p_out_strength,p_pagerank_fdr,p_in_fdr,p_out_fdr
Malta,10.602160137704086,0.0,,,,,9.6e-299,,
Ireland,7.4815468425550655,7.349676423018536e-14,,,,,3.5278446830488974e-12,,
Morocco,3.3721838464123084,0.0007457465025799692,,,,,0.005507051095975157,,
Latvia,3.15439698593523,0.0016083014628522907,,,,,0.00880019482356668,,
Iceland,2.9549769713952863,0.0031269239020310646,,,,,0.014294509266427724,,
Ghana,2.7569326073289684,0.005834637544911869,,,,,0.023338550179647477,,
Netherlands,2.2299270349852844,0.025752287261123996,,,,,0.07519383322219785,,
Sweden,2.2284896588794787,0.02584788017013051,,,,,0.07519383322219785,,
Czech Republic,2.059353247068891,0.03946041105080811,,,,,0.10823427031078796,,
Spain,1.8035174247290324,0.0713069914103297,,,,,0.18501273447004463,,
Ukraine,1.7702157601651316,0.07669120488517023,,,,,0.19374620181516689,,
United Kingdom,1.7083311834548358,0.08757490830142212,,,,,0.21556900504965446,,
Tunisia,1.6077720988973285,0.1078851012722859,,,,,0.23538567550316922,,
Vietnam,1.373854797353818,0.16948676521817463,,,,,0.30428129265910975,,
Unknown,1.341899983841558,0.17962842700680426,,,,,0.3052719442035417,,
Lithuania,1.3197204370158762,0.18692837404504137,,,,,0.3052719442035417,,
France,1.289700121799916,0.1971547972981207,,,,,0.3052719442035417,,
Denmark,1.1658887750213331,0.24365941794452173,,,,,0.336999037246101,,
China,0.9189258354224662,0.3581343655523641,,,,,0.4407807576029097,,
Poland,0.5040276293089052,0.6142419615007597,,,,,0.7019908131437254,,
Philippines,0.4796654444555413,0.6314653028873649,,,,,0.7131843420845533,,
Belgium,0.23302802078012427,0.8157396472077898,,,,,0.8512065883907372,,
Sri Lanka,0.14835651842720804,0.8820614135363953,,,,,0.9105150075214403,,
Mauritania,-0.0598697910650477,0.9522593399586159,,,,,0.9522593399586159,,
Guyana,-0.10645465260184617,0.9152216328735738,,,,,0.9248555447985588,,
United States,-0.12811611828267128,0.8980570806196919,,,,,0.9171646780796853,,
Argentina,-0.3049329234252749,0.7604172398911939,,,,,0.8021984069181827,,
Uruguay,-0.32546128155439313,0.744831981697067,,,,,0.7944874471435381,,
Bulgaria,-0.3881327962212412,0.6979177628295758,,,,,0.7528101711420144,,
Croatia,-0.38956515820850973,0.6968581202817148,,,,,0.7528101711420144,,
Nigeria,-0.409165652900997,0.6824180986027268,,,,,0.7528101711420144,,
Romania,-0.42476869456058963,0.6710053009312353,,,,,0.7490291731325418,,
Mexico,-0.5282784042848357,0.5973061182600312,,,,,0.6908600885899155,,
Italy,-0.536534657815374,0.5915890897911469,,,,,0.6908600885899155,,
Serbia,-0.578993175800834,0.5625937778174053,,,,,0.6667778107465544,,
Slovenia,-0.6765489204438617,0.4986921972035536,,,,,0.5984306366442643,,
Gambia,-0.7591250990299694,0.4477777262294669,,,,,0.5441349584560611,,
Chile,-0.9259446350459318,0.35447475341176427,,,,,0.4407807576029097,,
Greece,-0.9683887860522908,0.33285023783356116,,,,,0.42044240568449825,,
Portugal,-0.9970690387573892,0.31873100014844935,,,,,0.4079756801900152,,
Iran,-1.038135898901483,0.2992067903965434,,,,,0.3881601605144347,,
Cape Verde,-1.1005753706050725,0.27108150974430467,,,,,0.3564907525404554,,
Réunion,-1.1010527757227366,0.27087368850760196,,,,,0.3564907525404554,,
Indonesia,-1.1401212082566201,0.254235807366205,,,,,0.3437554578472631,,
Seychelles,-1.1607871630572961,0.2457284646586153,,,,,0.336999037246101,,
Algeria,-1.1649500541171462,0.2440392106769631,,,,,0.336999037246101,,
El Salvador,-1.1661269303488948,0.2435631298589116,,,,,0.336999037246101,,
Yemen,-1.1662210192213407,0.24352509635074915,,,,,0.336999037246101,,
Estonia,-1.2209093572290515,0.2221203412120083,,,,,0.32805465779004306,,
Mozambique,-1.241468838448365,0.21443260282597687,,,,,0.3216489042389653,,
Norway,-1.2752422151989067,0.20222352352199335,,,,,0.3081501310811327,,
